town_name,party_votes,PSC,PP,VOX,Cs,ERC,ECP,JxCat,CUP
Sant Cugat del Vallès,42496,7312,2286,3119,2668,7528,2759,10243,2836
Sant Cugat Sesgarrigues,530,89,3,15,4,157,18,145,58
Sant Esteve de Palautordera,1467,65,18,29,24,343,51,619,213
Sant Esteve Sesrovires,3336,824,107,251,228,841,249,523,164
Sant Fost de Campsentelles,3565,843,173,355,232,776,241,633,145
Sant Feliu de Codines,2402,329,52,91,43,654,96,725,234
Sant Feliu de Llobregat,19682,6026,768,1664,1520,3801,1748,2226,911
Sant Feliu Sasserra,343,15,5,3,2,95,3,176,21
Sant Fruitós de Bages,3751,534,68,196,125,859,173,1200,280
Vilassar de Dalt,4154,566,126,220,161,1039,217,1213,339
Sant Hipòlit de Voltregà,1545,175,28,57,19,311,34,660,147
Sant Jaume de Frontanyà,12,4,0,0,0,6,1,0,0
Sant Joan Despí,15106,5179,595,1349,1136,2634,1415,1513,500
Sant Joan de Vilatorrada,4256,993,102,319,227,909,266,962,256
Vilassar de Mar,9803,1637,290,496,429,2181,673,2588,808
Sant Julià de Vilatorta,1824,78,12,26,12,400,21,963,173
Sant Just Desvern,8850,1943,451,606,576,1705,557,1759,589
Sant Llorenç d'Hortons,1225,175,34,76,31,351,82,285,113
Sant Llorenç Savall,1080,129,10,63,30,319,30,316,119
Sant Martí de Centelles,524,59,10,32,15,156,30,156,40
Sant Martí d'Albars,69,0,0,0,0,14,1,40,8
Sant Martí de Tous,695,50,8,11,11,218,12,229,90
Sant Martí Sarroca,1376,166,17,52,30,336,67,388,182
Sant Martí Sesgueioles,200,13,6,9,3,54,8,62,19
Sant Mateu de Bages,372,31,2,7,5,97,7,128,32
Premià de Dalt,4615,900,168,383,318,933,234,1108,254
Sant Pere de Ribes,10597,2824,311,1006,725,2083,778,1657,738
Sant Pere de Riudebitlles,1041,141,14,19,14,302,39,302,128
Sant Pere de Torelló,1110,90,3,22,9,292,12,503,116
Sant Pere de Vilamajor,1884,237,44,109,74,504,116,446,203
Sant Pol de Mar,2602,278,46,76,66,630,113,964,235
Sant Quintí de Mediona,892,93,16,26,22,287,26,254,90
Sant Quirze de Besora,1039,102,14,20,8,266,21,403,114
Sant Quirze del Vallès,9578,1747,309,712,557,2228,522,2339,544
Sant Quirze Safaja,302,41,17,21,17,64,14,83,15
Sant Sadurní d'Anoia,5518,1002,121,206,127,1451,385,1327,483
Sant Sadurní d'Osormort,51,6,0,2,2,9,2,24,6
Marganell,135,10,3,5,2,40,5,46,13
Santa Cecília de Voltregà,109,3,1,0,1,29,0,55,6
Santa Coloma de Cervelló,3789,960,89,239,261,971,376,495,208
Santa Coloma de Gramenet,34091,14000,1508,3319,2850,5015,3296,1601,1144
Santa Eugènia de Berga,1093,68,10,19,7,268,18,546,108
Santa Eulàlia de Riuprimer,720,39,7,12,7,175,19,296,94
Santa Eulàlia de Ronçana,3055,515,68,161,160,809,182,762,251
Santa Fe del Penedès,230,22,3,12,5,49,10,76,29
Santa Margarida de Montbui,3141,1059,92,331,233,569,221,277,140
Santa Margarida i els Monjos,2648,732,52,206,137,629,150,427,147
Barberà del Vallès,12703,4286,507,1356,1140,2258,1231,851,484
Santa Maria de Besora,92,6,0,0,0,22,3,39,11
"Esquirol, l'",1288,38,2,11,1,351,43,547,209
Santa Maria de Merlès,89,1,0,1,0,19,3,38,18
Santa Maria de Martorelles,425,53,8,26,12,114,51,78,50
Santa Maria de Miralles,76,7,1,3,0,15,5,23,6
Santa Maria d'Oló,588,23,6,4,5,200,8,200,102
Santa Maria de Palautordera,4371,669,81,193,120,1102,238,1278,423
Santa Perpètua de Mogoda,9460,2913,333,1007,743,1890,830,943,371
Santa Susanna,1388,246,42,130,122,313,84,271,104
Sant Vicenç de Castellet,3323,660,69,215,155,858,184,738,218
Sant Vicenç dels Horts,10391,3029,334,1215,770,2719,729,707,358
Sant Vicenç de Montalt,2823,400,139,275,194,530,108,800,118
Sant Vicenç de Torelló,1132,80,8,20,12,260,21,472,176
Cerdanyola del Vallès,24023,7089,993,1871,1771,4404,2264,2935,1445
Sentmenat,3609,806,88,340,135,841,254,682,286
Cercs,583,76,6,17,12,193,13,174,53
Seva,1748,115,21,68,19,446,49,718,191
Sitges,10767,2456,518,1020,821,2107,627,2057,496
Sobremunt,36,0,0,0,0,4,3,10,16
Sora,116,2,0,0,2,29,3,42,21
Subirats,1649,150,29,51,25,443,55,514,243
Súria,2601,722,49,111,103,611,115,583,173
Tavèrnoles,179,10,1,1,0,41,3,75,29
Tagamanent,147,12,0,10,5,41,15,45,11
Talamanca,122,9,5,0,1,41,3,43,7
Taradell,3229,177,35,65,20,756,63,1547,350
Terrassa,79152,20172,2628,7195,4995,16364,5893,13072,4329
Tavertet,68,2,0,0,2,19,7,25,10
Teià,3264,457,113,150,130,757,191,1012,246
Tiana,4646,778,163,216,208,1132,268,1178,370
Tona,3424,359,35,138,46,750,81,1440,343
Tordera,5447,1056,132,487,290,1370,283,1222,305
Torelló,5603,632,52,169,140,1265,168,2209,585
"Torre de Claramunt, la",1463,369,32,140,98,302,68,238,92
Torrelavit,730,54,7,9,9,230,34,250,79
Torrelles de Foix,764,138,18,55,32,197,45,119,58
Torrelles de Llobregat,2688,454,49,139,90,798,188,565,281
Ullastrell,991,110,8,54,37,294,51,291,109
Vacarisses,2545,471,55,233,140,690,201,427,199
Vallbona d'Anoia,648,118,16,32,18,141,24,170,97
Vallcebre,165,15,3,2,0,45,3,55,25
Vallgorguina,1258,122,29,63,33,334,83,400,125
Vallirana,5730,1514,180,671,405,1366,376,751,215
Vallromanes,1244,209,39,90,65,301,57,333,57
Veciana,90,3,2,3,2,18,4,35,5
Vic,15646,1646,213,567,261,3125,524,6516,1555
Vilada,245,21,0,6,2,71,7,81,37
Viladecavalls,3560,632,108,317,246,908,291,629,209
Viladecans,24304,9265,987,2668,2202,3786,2143,1494,602
Vilanova del Camí,4307,1572,129,434,344,705,299,373,155
Vilanova de Sau,191,13,1,5,7,49,7,69,32
Vilobí del Penedès,541,51,4,17,13,150,14,214,51
Vilafranca del Penedès,15548,2780,338,718,496,3534,822,3985,1669
Vilalba Sasserra,292,49,11,17,7,87,12,66,17
Vilanova i la Geltrú,26320,6427,661,1606,1399,6000,2048,4799,1989
Viver i Serrateix,104,5,0,0,0,14,0,66,7
