town_name,party_votes,PSC,PP,VOX,Cs,ERC,ECP,JxCat,CUP
Sant Pere Pescador,604,51,9,22,15,145,19,253,48
Santa Coloma de Farners,4510,472,66,186,68,983,137,1884,423
Santa Cristina d'Aro,1899,310,45,121,93,440,108,565,78
Santa Llogaia d'Àlguema,151,39,9,24,6,18,11,31,2
Sant Aniol de Finestres,172,11,3,9,2,28,2,83,18
Santa Pau,830,59,7,16,7,193,24,363,85
Sant Joan les Fonts,1221,145,11,24,14,325,31,495,90
Sarrià de Ter,2212,416,35,136,74,501,69,633,205
"Saus, Camallera i Llampaies",464,56,1,14,3,100,35,148,70
"Selva de Mar, la",128,9,3,0,1,24,9,48,28
"Cellera de Ter, la",1084,64,5,13,9,199,24,591,127
Serinyà,520,33,4,10,7,126,11,213,82
Serra de Daró,146,9,2,0,2,28,7,65,20
Setcases,96,6,3,3,4,15,2,36,5
Sils,2161,389,33,175,107,457,92,622,137
Susqueda,49,3,2,2,0,15,0,19,2
"Tallada d'Empordà, la",278,27,1,3,0,71,14,99,46
Terrades,156,8,6,5,8,33,7,47,23
Torrent,91,11,0,2,5,22,0,31,8
Torroella de Fluvià,264,37,6,25,9,64,13,75,23
Torroella de Montgrí,3995,460,56,245,134,919,149,1280,435
Tortellà,416,38,3,2,2,106,29,140,71
Toses,98,3,1,8,1,27,2,34,12
Tossa de Mar,2079,366,55,112,107,497,77,595,118
Ultramort,105,4,0,0,2,27,4,45,14
Ullà,370,71,15,21,10,73,15,111,29
Ullastret,142,8,1,1,0,36,7,63,13
Urús,122,9,5,1,2,22,3,43,17
"Vall d'en Bas, la",1668,80,17,18,18,396,47,740,213
"Vall de Bianya, la",586,28,6,10,7,125,23,265,81
Vall-llobrega,427,54,11,38,20,104,13,131,32
Ventalló,387,37,9,11,1,81,16,147,51
Verges,595,39,5,8,8,106,13,264,115
Vidrà,113,5,0,3,0,26,0,41,14
Vidreres,2593,363,35,161,68,544,117,963,191
Vilabertran,434,34,14,22,6,115,12,154,31
Vilablareix,1663,206,26,71,40,455,44,550,117
Viladasens,118,11,3,1,1,17,2,56,19
Viladamat,277,15,3,9,5,44,7,93,82
Vilademuls,423,22,5,4,8,65,20,181,80
Viladrau,592,26,4,11,8,153,12,255,64
Vilafant,2393,407,66,333,121,559,72,543,121
Vilaür,92,1,0,1,0,21,1,47,15
Vilajuïga,477,77,5,32,8,104,26,141,52
Vilallonga de Ter,176,10,3,2,2,27,2,79,12
Vilamacolum,136,7,5,5,5,44,3,39,12
Vilamalla,456,64,22,102,36,85,10,87,15
Vilamaniscle,95,12,1,1,2,35,0,26,13
Vilanant,191,17,1,14,4,44,8,65,14
Vila-sacra,300,49,6,27,15,55,3,102,21
Vilopriu,119,16,1,9,4,25,6,37,16
Vilobí d'Onyar,1479,103,12,55,24,315,33,649,145
Biure,116,13,2,10,5,30,8,30,12
