town_name,party_votes,PSC,PP,VOX,Cs,ERC,ECP,JxCat,CUP
Torà,541,42,3,10,6,171,11,183,63
"Torms, els",88,6,0,0,0,42,0,22,9
Tornabous,316,18,8,10,1,109,1,127,23
Torrebesses,143,12,1,0,5,53,9,42,14
"Torre de Cabdella, la",440,36,3,8,5,107,11,182,62
Torrefarrera,1766,247,50,118,60,474,32,445,98
Torregrossa,906,140,34,45,18,349,6,193,37
Torrelameu,358,24,12,17,2,154,5,78,20
Torres de Segre,782,125,14,25,9,210,16,256,69
Torre-serona,187,36,9,8,4,61,5,41,8
Tremp,2256,425,49,90,57,472,88,736,156
Vallbona de les Monges,141,10,0,3,0,39,5,56,11
"Valls de Valira, les",238,31,5,13,4,73,8,67,20
Vallfogona de Balaguer,850,113,37,43,21,245,21,251,50
Verdú,404,37,14,11,8,110,15,145,34
Vielha e Mijaran,1721,520,118,218,126,253,85,185,52
Vilagrassa,252,34,9,11,3,64,7,77,14
Vilaller,245,51,6,8,10,37,9,45,15
Vilamòs,72,23,2,18,6,9,5,1,2
Vilanova de Bellpuig,625,34,9,13,5,184,6,258,50
Vilanova de l'Aguda,106,11,3,5,2,33,0,25,13
Vilanova de Meià,209,22,5,3,1,62,2,85,15
Vilanova de Segrià,437,42,15,24,12,138,8,134,26
Vila-sana,304,21,7,7,8,87,9,102,26
"Vilosell, el",118,9,2,4,2,40,9,27,16
Vilanova de la Barca,419,61,17,19,10,108,14,126,21
Vinaixa,265,29,7,13,9,92,4,65,23
